region_name,15–24歲,25–34歲,35–44歲,45–54歲,55–64歲,65歲以上
新北市,437689,549450,688111,628840,626317,618261
臺北市,243777,311117,433826,385444,388090,495639
桃園市,274153,327982,398714,339135,305000,292059
臺中市,339639,403444,482784,421706,393804,384604
臺南市,200735,251808,315909,281683,292027,309271
高雄市,301762,367906,459264,434188,418188,461393
宜蘭縣,53102,62795,67550,68869,69704,78202
新竹縣,69209,75564,101477,87165,71497,73939
苗栗縣,63852,73993,86460,78831,80772,93111
彰化縣,153521,178838,205185,176956,181205,210882
南投縣,57539,66541,71798,71957,79079,91543
雲林縣,80652,85106,105852,100948,100340,129251
嘉義縣,58514,64366,72399,76127,81538,101607
屏東縣,93793,109942,124014,124073,130256,146353
臺東縣,25397,27870,31711,34361,33743,37584
花蓮縣,37560,43190,48605,49694,50649,56675
澎湖縣,13704,15572,16566,15621,15457,18106
基隆市,40679,49895,54470,58448,62179,64407
新竹市,52133,57065,82539,68201,56002,59112
嘉義市,33335,34649,41247,40194,38156,43321
金門縣,17031,22212,20396,22296,25729,20319
連江縣,1533,2251,2006,2123,2185,1676
