region_name,研究所以上,大學,專科,高中職,國中,國小及以下
新北市,323247,1164348,420280,1019785,413713,250362
臺北市,334669,826605,260792,468228,132003,117654
桃園市,179738,675312,218176,618469,204606,137895
臺中市,233707,828017,280344,725305,246097,174823
臺南市,150808,508647,162938,462829,177734,171690
高雄市,214075,739637,270889,743097,234602,198287
宜蘭縣,27289,106338,43599,114934,64728,38337
新竹縣,68453,170090,49094,139811,45393,33913
苗栗縣,32984,134658,46059,152690,58932,43664
彰化縣,66333,295975,104442,322064,143244,121271
南投縣,24727,103215,42627,135844,63937,47247
雲林縣,32952,143683,51425,174913,89783,78943
嘉義縣,21771,100651,38194,134562,68120,63650
屏東縣,39003,171240,71275,248020,89085,76405
臺東縣,9969,41829,17637,63403,26874,24619
花蓮縣,18102,71591,31264,95323,33773,27937
澎湖縣,6316,26714,8423,29063,13016,12271
基隆市,21834,92381,38952,108949,36430,25601
新竹市,64831,133305,36497,94203,32669,23487
嘉義市,22639,75620,29653,64442,18820,17146
金門縣,12369,43776,13560,35562,12960,9628
連江縣,1153,4182,1280,3279,1133,1038
