region_name,DPP,KMT,Other
新北市,0.5652,0.3891,0.0457
臺北市,0.5365,0.4201,0.0434
桃園市,0.5478,0.404,0.0482
臺中市,0.5695,0.3806,0.0499
臺南市,0.6738,0.291,0.0352
高雄市,0.6223,0.3463,0.0314
宜蘭縣,0.6328,0.328,0.0391
新竹縣,0.4688,0.4745,0.0567
苗栗縣,0.4502,0.5032,0.0466
彰化縣,0.5717,0.3824,0.0459
南投縣,0.5083,0.4472,0.0445
雲林縣,0.6156,0.346,0.0383
嘉義縣,0.6422,0.3216,0.0362
屏東縣,0.6216,0.351,0.0274
臺東縣,0.3812,0.5828,0.036
花蓮縣,0.3591,0.6038,0.0371
澎湖縣,0.5385,0.4108,0.0507
基隆市,0.5082,0.4392,0.0525
新竹市,0.5526,0.3934,0.054
嘉義市,0.6137,0.3479,0.0384
金門縣,0.2177,0.7483,0.0341
連江縣,0.1981,0.7716,0.0304
