region_name,閩南,客家,外省,原住民
新北市,0.7929,0.0918,0.1,0.0152
臺北市,0.7473,0.0957,0.15,0.007
桃園市,0.6039,0.2194,0.14,0.0367
臺中市,0.7605,0.0962,0.13,0.0133
臺南市,0.8665,0.039,0.09,0.0045
高雄市,0.7757,0.0808,0.13,0.0134
宜蘭縣,0.8274,0.0424,0.09,0.0403
新竹縣,0.4938,0.3729,0.09,0.0433
苗栗縣,0.5834,0.3438,0.05,0.0228
彰化縣,0.9024,0.0429,0.05,0.0047
南投縣,0.8183,0.0677,0.05,0.064
雲林縣,0.8996,0.0468,0.05,0.0037
嘉義縣,0.9012,0.0457,0.04,0.0132
屏東縣,0.6582,0.1271,0.13,0.0848
臺東縣,0.3697,0.1133,0.08,0.437
花蓮縣,0.3855,0.1881,0.09,0.3364
澎湖縣,0.901,0.0522,0.04,0.0067
基隆市,0.7732,0.0688,0.13,0.028
新竹市,0.6633,0.1667,0.16,0.01
嘉義市,0.8454,0.0501,0.1,0.0045
金門縣,0.8598,0.0908,0.04,0.0094
連江縣,0.8601,0.088,0.03,0.0219
