region_name,自有本人,自有家人名義,租屋,借住配住
新北市,0.7618,0.0552,0.1451,0.0379
臺北市,0.7208,0.0764,0.1384,0.0643
桃園市,0.796,0.0557,0.1078,0.0404
臺中市,0.7685,0.055,0.136,0.0405
臺南市,0.7997,0.0605,0.0979,0.0419
高雄市,0.7901,0.067,0.0911,0.0517
宜蘭縣,0.8494,0.0501,0.0594,0.0411
新竹縣,0.8463,0.0505,0.0623,0.0408
苗栗縣,0.8392,0.053,0.0682,0.0395
彰化縣,0.8689,0.0505,0.0542,0.0264
南投縣,0.8111,0.0662,0.0615,0.0611
雲林縣,0.8432,0.0662,0.0551,0.0354
嘉義縣,0.8283,0.0617,0.0715,0.0385
屏東縣,0.82,0.0606,0.0675,0.0518
臺東縣,0.7983,0.0502,0.0865,0.0649
花蓮縣,0.7828,0.0501,0.1063,0.0608
澎湖縣,0.7964,0.1004,0.0419,0.0613
基隆市,0.8463,0.06,0.0668,0.0269
新竹市,0.7625,0.0484,0.1428,0.0464
嘉義市,0.7884,0.0547,0.1078,0.049
金門縣,0.7909,0.085,0.0768,0.0473
連江縣,0.6977,0.0674,0.193,0.0419
